x,y,z
6,29,3840
47,34,16592
34,9,4435
7,9,818
34,2,2937
22,47,13450
26,47,14801
1,45,6817
30,3,2534
40,24,10286
42,26,11609
37,13,6066
44,34,15516
16,16,2862
49,33,16873
8,12,1241
41,35,14897
40,28,11754
35,39,14526
18,5,1367
23,46,13376
35,12,5372
48,46,22852
46,8,6687
39,9,5425
38,21,8711
33,8,4023
16,1,732
16,46,11171
35,17,6737
27,41,12690
35,15,6174
42,48,21355
0,15,854
44,45,20664
5,13,1073
41,35,14897
44,1,4427
36,2,3252
17,12,2294
22,21,5000
42,24,10867
26,19,5310
2,35,4445
18,45,11407
17,13,2466
13,17,2601
19,31,7037
43,12,7157
14,18,2934
41,43,18498
14,0,504
0,29,2856
14,2,678
21,31,7522
19,4,1340
5,14,1190
24,27,7057
31,46,16136
30,34,10965
10,35,6093
33,9,4249
41,5,4818
28,2,2091
30,33,10604
48,22,11932
35,20,7629
31,44,15265
10,23,3274
1,21,1682
6,43,7438
15,14,2360
30,27,8557
6,28,3627
18,49,12940
31,2,2496
46,15,8857
17,34,7443
36,36,13622
32,35,11945
41,34,14474
28,4,2430
25,12,3503
0,1,28
14,14,2225
39,44,18201
5,7,497
22,19,4518
32,41,14339
46,14,8529
8,48,9557
39,23,9653
9,4,511
0,34,3855
20,40,10193
45,10,7038
7,4,392
43,10,6572
9,41,7577
47,10,7520
17,37,8369
18,16,3171
6,5,407
16,20,3657
21,23,5298
12,39,7718
17,16,3014
34,36,12967
10,11,1317
48,7,6862
23,12,3176
4,16,1337
17,29,6017
35,32,11733
5,5,354
32,39,13517
38,14,6569
39,36,14633
35,26,9572
31,40,13592
38,41,16452
28,2,2092
30,41,13667
28,44,14230
41,6,5067
48,47,23381
7,14,1393
30,43,14494
34,31,11057
34,44,16336
4,16,1337
22,29,7167
10,42,8137
4,10,684
31,5,3058
19,13,2753
46,4,5579
12,23,3605
27,39,11917
13,13,1937
3,9,529
43,31,13901
0,23,1854
28,48,15938
44,15,8334
49,27,14257
30,15,5113
34,19,7085
47,49,24018
23,23,5717
27,46,14724
33,47,17322
6,21,2311
17,8,1671
6,24,2839
48,19,10810
38,26,10421
40,44,18585
11,5,738
24,21,5408
20,12,2717
13,6,1006
15,46,10872
42,37,16120
12,28,4726
31,3,2678
31,23,7558
31,12,4577
16,4,1049
19,41,10257
23,19,4709
45,4,5371
46,2,5062
19,19,3966
47,49,24017
7,46,8624
42,48,21355
18,46,11782
21,38,9782
41,43,18497
21,14,3255
41,34,14475
9,22,2922
27,28,8100
38,27,10782
13,4,794
32,19,6617
15,25,4594
28,22,6552
31,32,10537
38,12,6011
13,47,10642
6,21,2311
46,29,14080
25,7,2537
39,27,11078
49,10,8019
49,18,10738
16,41,9412
38,5,4247
34,41,15028
27,28,8100
14,33,6443
44,49,22716
13,7,1121
8,24,3150
11,21,3041
9,39,6986
38,5,4247
49,13,8994
24,33,8923
41,25,10938
15,28,5329
20,24,5346
33,37,13041
6,28,3628
41,12,6687
32,36,12330
45,21,10658
48,42,20792
10,11,1317
33,17,6282
24,37,10287
41,12,6686
3,37,5122
2,25,2435
15,2,753
11,46,9717
38,4,4019
24,4,1906
23,7,2262
35,14,5900
29,1,2057
36,32,12041
42,3,4526
33,46,16867
37,15,6626
10,7,857
24,35,9593
39,39,15926
26,6,2502
1,23,1978
27,13,4065
26,44,13559
34,39,14185
13,37,7362
28,36,11102
41,46,19946
13,20,3162
29,4,2571
32,5,3215
23,0,1232
42,0,3836
43,34,15164
33,14,5474
15,31,6118
40,34,14136
39,47,19638
33,32,11126
2,20,1656
3,16,1236
40,16,7638
45,41,19098
3,13,898
38,18,7757
13,10,1502
25,4,2030
11,2,477
46,21,10951
48,39,19310
11,7,942
22,11,2830
10,21,2887
49,8,7398
21,36,9106
42,24,10867
12,44,9317
30,6,3098
49,5,6514
30,20,6444
8,4,449
38,26,10421
20,27,6137
32,46,16499
19,18,3748
38,33,13068
20,44,11645
33,22,7746
20,12,2717
43,39,17389
37,32,12355
36,9,4819
43,4,4965
18,21,4232
2,26,2609
35,49,19025
37,34,13143
46,17,9531
20,19,4145
22,47,13449
44,39,17765
14,1,588
5,4,291
21,35,8778
47,48,23480
36,6,4112
25,11,3298
7,4,393
36,38,14448
16,37,8112
6,14,1289
18,23,4698
41,32,13646
1,46,7106
40,10,5904
11,49,10770
7,24,2992
47,11,7830
48,5,6288
8,25,3347
40,26,11007
41,18,8522
6,11,941
7,16,1665
32,8,3845
27,4,2292
12,39,7717
24,9,2756
37,25,9786
1,11,562
44,2,4667
8,25,3348
23,30,7712
4,10,684
46,2,5061
9,41,7577
43,9,6290
9,14,1610
25,5,2193
48,42,20791
42,10,6345
4,23,2373
48,29,14760
14,25,4403
40,11,6177
21,38,9783
20,43,11273
18,11,2262
8,18,2087
45,6,5902
7,13,1265
12,9,1268
47,15,9125
7,42,7385
22,33,8396
12,42,8659
21,5,1698
37,32,12354
36,7,4341
36,22,8512
10,34,5826
7,16,1665
16,42,9751
32,36,12329
9,31,4858
30,5,2904
46,31,14921
22,7,2130
34,44,16336
13,8,1243
41,38,16202
9,46,9163
48,7,6861
1,38,4962
25,15,4153
41,32,13647
33,38,13443
44,0,4194
0,6,188
34,44,16335
4,11,777
44,39,17765
11,38,7172
11,5,737
45,23,11393
21,23,5297
14,17,2748
13,37,7362
31,25,8178
23,43,12197
4,26,2908
46,33,15787
47,27,13589
42,21,9799
6,12,1051
20,12,2717
3,7,382
46,47,22521
23,2,1497
33,47,17321
15,16,2713
32,41,14339
40,5,4624
8,7,702
4,42,6667
12,25,4035
47,48,23481
38,34,13470
21,47,13121
36,32,12041
18,18,3578
9,25,3514
20,38,9503
22,0,1136
29,35,11033
22,36,9380
47,33,16146
11,15,1998
37,17,7210
14,45,10224
36,45,17527
11,40,7773
3,34,4405
19,12,2572
36,20,7878
24,9,2755
46,48,23048
40,33,13723
45,17,9258
40,31,12917
16,47,11542
25,21,5618
25,45,13633
14,9,1476
25,23,6153
43,42,18797
0,26,2327
47,7,6629
41,4,4575
21,31,7521
45,14,8270
21,26,6087
35,4,3501
35,38,14108
0,22,1707
40,36,14977
11,3,558
17,42,10034
7,29,4018
30,40,13263
43,44,19764
41,8,5583
33,46,16867
24,41,11747
23,45,12977
46,3,5317
12,18,2635
14,20,3324
5,45,7794
34,47,17697
28,39,12230
36,25,9508
16,28,5538
19,11,2398
7,13,1265
40,8,5373
41,4,4575
18,49,12939
9,33,5354
8,35,5658
27,32,9405
29,27,8297
38,8,4967
13,26,4447
15,30,5849
10,32,5308
33,0,2422
19,14,2941
33,1,2601
39,29,11826
1,17,1161
32,12,4770
3,27,2941
22,49,14267
19,43,10974
27,9,3217
0,12,577
28,32,9682
49,16,10022
46,34,16230
28,26,7732
32,3,2825
39,6,4673
20,40,10193
15,26,4832
40,35,14553
38,35,13878
15,26,4832
38,9,5220
46,18,9878
13,0,443
10,14,1725
12,46,9999
2,34,4217
23,10,2793
27,2,1964
49,13,8993
40,22,9588
20,31,7278
4,3,194
38,45,18288
24,10,2944
48,1,5211
1,27,2642
17,12,2295
26,19,5309
44,43,19674
7,28,3800
11,24,3645
8,28,3978
16,20,3657
32,45,16055
37,3,3625
48,10,7767
36,19,7569
20,18,3923
41,5,4818
12,23,3605
32,32,10830
19,13,2754
46,39,18530
1,4,134
8,14,1499
2,25,2435
3,30,3532
48,0,4958
42,20,9456
10,44,8776
44,4,5165
10,0,284
45,28,13339
6,30,4057
3,12,797
35,40,14949
26,30,8478
34,11,4918
22,5,1816
9,28,4159
18,44,11040
11,37,6881
30,48,16664
14,46,10577
17,45,11106
9,2,363
44,1,4428
31,9,3889
19,5,1474
10,28,4344
2,33,3995
38,34,13469
2,8,395
11,27,4301
38,27,10781
45,17,9257
26,18,5058
35,11,5117
29,38,12158
15,17,2897
28,29,8679
24,21,5407
38,35,13877
24,42,12127
48,13,8727
19,24,5141
6,15,1418
39,27,11078
5,34,4791
9,36,6142
40,12,6457
45,38,17678
4,1,107
27,48,15580
28,44,14230
45,41,19097
47,7,6629
39,47,19637
27,45,14305
7,1,210
30,1,2188
22,18,4286
3,35,4638
27,30,8741
14,16,2568
16,29,5800
23,33,8657
32,43,15186
22,5,1816
14,15,2394
25,5,2193
29,28,8618
21,43,11578
33,7,3802
49,1,5417
32,34,11567
29,11,3978
10,28,4344
3,46,7596
12,43,8985
24,13,3544
20,28,6414
28,39,12229
48,28,14337
9,13,1473
5,18,1718
36,36,13621
6,7,562
45,12,7642
46,13,8207
18,7,1641
24,1,1467
39,3,3974
35,5,3714
45,35,16314
4,42,6667
39,40,16369
45,37,17217
26,10,3257
12,27,4489
34,5,3543
33,38,13442
2,30,3366
29,19,5945
14,11,1758
49,31,15978
26,45,13968
44,27,12617
34,49,18635
1,44,6534
9,49,10185
33,13,5217
4,11,777
44,21,10367
7,29,4018
46,46,22002
13,11,1641
36,9,4819
6,2,222
6,20,2148
48,23,12317
46,24,12080
5,46,8103
42,13,7216
20,14,3096
9,44,8510
36,31,11661
38,1,3371
44,34,15516
8,26,3551
39,39,15926
5,0,98
46,45,21487
32,34,11568
13,2,607
45,23,11394
47,49,24018
28,40,12617
14,29,5375
34,23,8313
43,49,22289
11,45,9378
14,38,7914
43,0,4012
22,12,3019
23,34,8985
3,41,6162
22,6,1970
35,4,3500
15,44,10160
20,12,2717
32,38,13116
49,38,19218
22,3,1525
49,35,17793
23,0,1233
13,25,4218
6,8,648
25,24,6431
36,47,18461
34,35,12573
9,22,2923
16,48,11918
4,28,3293
0,26,2328
16,42,9751
33,21,7441
14,35,7014
31,40,13593
29,16,5162
45,22,11022
14,32,6168
10,34,5826
35,27,9917
19,3,1213
15,21,3698
1,5,177
41,31,13242
13,14,2095
44,33,15083
8,0,198
9,16,1903
12,1,459
16,5,1168
47,44,21393
38,24,9720
5,15,1314
20,42,10907
16,41,9412
9,28,4158
16,26,5032
11,10,1293
39,9,5425
26,49,15659
36,10,5067
27,21,6050
14,19,3126
16,40,9078
33,25,8698
27,23,6606
18,3,1117
23,42,11817
8,3,377
26,28,7848
5,30,3878
5,27,3257
21,25,5818
24,0,1334
0,26,2328
41,39,16649
39,24,10001
8,18,2088
34,36,12968
17,36,8055
43,20,9733
5,9,666
23,14,3584
10,39,7226
13,37,7361
9,47,9497
23,35,9317
17,1,810
49,45,22753
15,27,5077
44,39,17766
44,20,10013
8,20,2418
2,40,5675
21,3,1417
41,47,20442
24,12,3337
18,21,4232
15,6,1193
8,5,528
44,45,20663
17,47,11850
34,5,3544
15,25,4594
22,13,3216
25,19,5105
20,13,2904
47,30,14841
35,32,11733
32,47,16949
22,47,13449
33,27,9362
16,41,9412
14,3,773
34,9,4436
47,38,18441
7,41,7089
18,32,7092
40,5,4623
46,10,7277
47,43,20886
3,17,1362
14,0,504
47,31,15269
4,38,5584
5,29,3666
23,20,4952
42,49,21868
20,15,3293
0,22,1707
24,1,1468
38,31,12282
3,19,1630
11,3,558
40,44,18585
41,14,7275
30,5,2904
44,45,20663
6,4,339
47,49,24018
32,19,6617
6,48,9007
48,32,16062
40,18,8264
15,30,5849
22,37,9719
41,6,5066
7,33,4945
23,49,14609
21,21,4802
37,8,4770
11,14,1845
44,0,4194
46,3,5318
26,5,2328
23,1,1361
22,25,6036
18,40,9628
7,35,5446
33,1,2602
17,25,4985
21,23,5298
28,35,10738
41,32,13647
1,7,282
10,4,576
18,28,5968
11,4,644
39,39,15925
24,47,14117
17,31,6569
9,24,3311
25,15,4154
47,20,10880
23,8,2433
15,26,4833
28,29,8680
16,22,4092
14,21,3528
30,28,8883
23,32,8336
46,1,4811
1,35,4258
47,42,20384
33,19,6850
34,29,10336
23,11,2982
39,17,7697
35,44,16701
20,35,8514
10,45,9104
37,33,12746
24,9,2756
27,42,13085
24,44,12906
11,28,4532
29,3,2393
23,13,3378
20,5,1584
44,6,5687
4,49,8796
19,7,1757
7,14,1393
2,21,1799
29,15,4914
3,24,2404
37,19,7818
30,38,12474
38,40,16007
30,33,10603
4,33,4364
31,13,4818
1,11,562
23,14,3585
42,21,9800
19,13,2753
38,5,4247
42,45,19855
40,26,11008
19,17,3537
12,47,10350
13,36,7067
30,13,4624
5,17,1577
37,35,13546
11,10,1292
25,24,6430
44,27,12617
4,28,3293
4,21,2047
3,43,6717
23,32,8336
33,17,6281
9,15,1753
45,5,5634
16,18,3247
10,28,4344
14,0,503
11,36,6596
38,45,18287
3,48,8213
15,44,10160
13,38,7662
14,0,503
16,37,8111
37,30,11591
29,13,4434
38,12,6012
45,42,19583
9,12,1343
1,43,6258
37,27,10489
27,35,10446
45,33,15434
16,38,8428
43,32,14316
48,39,19310
24,24,6206
28,43,13818
31,25,8178
24,7,2397
37,21,8449
39,26,10712
29,29,8945
30,48,16663
20,1,1067
23,23,5718
43,36,16037
32,43,15186
32,4,3018
15,44,10160
16,5,1168
7,19,2117
7,38,6241
8,0,198
3,15,1117
25,19,5105
20,26,5867
22,42,11509
40,27,11378
25,16,4383
44,43,19673
42,24,10868
16,49,12299
11,49,10769
28,16,4961
29,47,15857
42,2,4289
49,3,5953
28,22,6552
0,3,74
11,32,5517
35,43,16254
4,32,4137
15,30,5848
28,40,12617
13,18,2782
35,45,17153
40,46,19548
30,40,13264
17,48,12231
33,33,11497
27,38,11541
48,19,10810
43,43,19277
0,47,7157
3,1,82
1,4,134
46,17,9532
6,45,8047
24,16,4198
33,19,6849
13,11,1641
4,14,1095
37,35,13546
8,47,9221
3,28,3132
36,45,17528
41,42,18026
27,23,6606
23,15,3797
24,32,8597
8,16,1781
30,2,2357
20,25,5603
37,35,13545
31,15,5318
7,34,5192
22,35,9046
41,7,5321
22,38,10065
13,34,6494
29,11,3978
47,37,17970
23,49,14610
9,35,5873
26,21,5831
30,35,11333
23,6,2097
40,33,13724
13,35,6777
5,3,234
33,38,13442
4,28,3294
27,3,2126
32,43,15186
12,16,2290
5,21,2178
23,18,4473
18,48,12547
20,6,1727
4,22,2208
31,46,16136
21,31,7522
49,34,17331
46,37,17592
28,1,1931
6,0,127
6,42,7141
21,28,6642
7,24,2993
3,44,7004
20,44,11646
28,42,13412
36,4,3670
36,38,14448
19,28,6189
38,22,9042
28,15,4718
49,2,5683
36,13,5847
38,44,17819
23,32,8337
13,34,6494
15,6,1193
6,21,2312
27,3,2125
25,14,3931
30,35,11334
46,5,5847
39,28,11449
20,23,5094
20,46,12407
18,48,12548
33,13,5217
14,26,4637
2,22,1949
1,12,647
8,27,3761
47,22,11625
14,32,6167
19,19,3966
7,14,1393
16,21,3872
9,8,879
32,19,6617
21,2,1286
17,7,1530
49,12,8663
21,12,2867
45,19,9946
48,16,9742
31,45,15697
41,25,10937
1,39,5209
39,17,7697
46,8,6687
34,38,13773
36,16,6681
11,41,8082
26,25,6948
9,27,3937
2,40,5675
26,42,12762
37,29,11217
34,48,18163
4,45,7543
10,11,1318
34,4,3336
46,7,6402
32,24,8118
9,25,3514
43,27,12301
15,6,1192
2,16,1139
7,8,721
38,10,5478
19,2,1092
30,33,10603
14,9,1476
41,45,19457
5,6,423
46,30,14497
35,1,2897
46,31,14921
4,31,3918
32,35,11945
47,16,9465
38,20,8387
47,0,4760
0,43,6033
13,12,1786
43,14,7764
28,7,2982
21,23,5297
24,30,7964
9,42,7883
48,19,10809
48,10,7767
40,33,13723
40,34,14135
15,25,4593
0,34,3855
24,35,9594
33,6,3586
13,24,3995
14,8,1344
41,5,4818
2,40,5675
43,9,6289
28,23,6838
29,28,8619
31,42,14416
9,18,2219
45,40,18618
25,16,4382
40,34,14135
19,46,12092
4,29,3495
29,34,10671
3,9,529
27,41,12689
44,20,10013
8,42,7632
9,24,3310
19,20,4188
10,10,1193
30,35,11334
24,35,9594
39,5,4433
31,24,7865
12,26,4259
20,7,1878
12,48,10705
42,19,9117
0,39,5005
24,40,11373
23,26,6537
31,29,9490
40,34,14135
6,22,2482
23,43,12197
30,3,2534
49,8,7399
25,40,11679
7,18,1961
47,37,17969
5,6,423
46,19,10229
44,27,12618
7,49,9618
5,26,3062
13,4,795
19,11,2397
32,7,3629
31,9,3890
49,24,13030
21,31,7521
36,49,19420
33,21,7441
39,47,19638
6,19,1990
34,15,5953
1,38,4962
43,44,19764
6,45,8047
26,43,13157
25,35,9874
40,17,7947
4,18,1604
22,10,2646
15,13,2193
2,34,4217
21,17,3882
44,0,4193
46,21,10952
45,3,5113
14,15,2394
44,16,8657
27,2,1964
37,6,4295
12,27,4490
8,0,197
37,1,3209
34,48,18163
42,11,6630
12,42,8660
27,30,8741
23,13,3378
36,12,5581
22,38,10065
44,19,9666
37,13,6066
23,41,11441
22,46,13050
32,33,11195
9,49,10186
15,14,2360
26,25,6948
31,32,10537
41,49,21450
30,37,12087
38,7,4722
29,44,14570
28,34,10379
47,49,24017
46,27,13261
12,2,540
24,20,5153
7,45,8306
4,3,193
38,34,13469
18,20,4008
37,38,14790
26,23,6378
14,4,876
2,30,3365
36,35,13217
21,10,2503
40,26,11007
28,25,7427
10,28,4344
6,47,8682
39,38,15488
18,2,1002
7,22,2624
17,24,4742
36,2,3252
3,7,382
21,23,5298
19,18,3749
11,7,942
1,41,5721
39,7,4918
37,14,6343
5,8,579
42,15,7826
34,36,12967
11,42,8396
43,12,7157
38,36,14291
18,44,11039
21,46,12726
9,40,7279
20,45,12024
24,31,8278
25,8,2719
22,4,1667
29,9,3545
12,41,8339
29,38,12158
15,5,1074
8,41,7332
32,40,13925
8,38,6468
39,16,7392
13,49,11370
35,46,17612
5,20,2018
22,24,5768
13,6,1006
18,40,9628
47,49,24017
19,16,3333
12,9,1267
46,5,5848
4,33,4363
8,23,2957
46,43,20477
40,30,12524
12,22,3399
17,21,4049
42,4,4768
42,24,10867
29,10,3759
23,39,10709
34,37,13367
5,13,1073
19,30,6749
29,10,3758
11,36,6596
37,10,5271
35,37,13698
15,38,8168
10,21,2888
42,48,21356
11,5,738
27,21,6050
22,49,14267
27,40,12301
49,22,12242
0,8,293
20,34,8196
29,49,16745
29,42,13743
43,9,6289
0,1,28
12,23,3605
7,26,3385
8,20,2417
25,44,13231
25,34,9530
3,8,452
42,3,4526
32,45,16056
22,37,9720
37,35,13546
9,9,985
0,16,957
30,14,4865
45,32,15002
39,31,12598
46,1,4812
3,3,157
2,49,8268
11,28,4533
40,23,9934
14,41,8867
22,46,13049
17,21,4050
2,46,7349
36,2,3251
13,12,1787
35,25,9234
5,12,963
21,28,6643
16,36,7802
27,44,13892
34,12,5168
5,40,6338
24,18,4664
28,20,5998
44,40,18233
2,4,167
9,2,363
44,27,12617
11,44,9044
44,2,4667
16,11,2002
28,21,6272
9,17,2058
45,18,9599
34,20,7383
26,38,11238
20,31,7278
0,44,6305
0,12,577
46,41,19491
2,13,816
25,25,6713
35,3,3294
6,37,5752
15,9,1586
41,45,19457
9,18,2219
9,5,593
9,2,363
37,39,15217
46,32,15351
19,4,1341
34,0,2563
16,38,8427
22,33,8396
27,43,13486
0,33,3644
9,17,2057
31,43,14837
12,42,8660
43,2,4477
25,45,13633
33,15,5737
13,30,5423
37,20,8131
28,49,16379
16,13,2327
41,45,19458
46,13,8207
3,7,382
41,8,5582
18,27,5702
39,10,5689
19,38,9228
49,44,22231
19,44,11340
16,29,5800
15,29,5585
18,31,6801
22,9,2468
15,42,9472
17,0,711
13,30,5422
16,30,6067
29,20,6219
38,30,11898
8,44,8250
8,4,450
29,38,12158
10,31,5057
35,44,16701
18,2,1002
2,11,629
44,22,10728
40,1,3708
0,22,1707
7,19,2118
36,15,6397
18,18,3578
37,7,4530
18,16,3172
36,31,11661
7,44,7992
26,5,2328
32,10,4296
44,14,8015
30,10,3933
8,48,9558
13,48,11002
32,5,3215
1,15,938
4,47,8158
46,22,11321
36,5,3888
24,13,3544
30,36,11708
21,30,7222
34,26,9297
18,37,8631
16,4,1050
34,17,6507
17,48,12231
42,32,13979
44,11,7098
8,8,797
24,12,3338
28,15,4717
30,16,5368
23,46,13377
33,10,4483
33,39,13850
12,28,4725
29,49,16746
45,28,13339
25,12,3503
33,26,9027
16,49,12299
47,47,22949
16,1,731
13,49,11369
26,35,10157
41,44,18974
6,20,2147
47,6,6344
17,16,3014
3,22,2077
0,6,187
49,2,5683
25,35,9873
13,11,1642
42,40,17475
13,43,9258
3,48,8213
49,34,17331
8,27,3762
20,31,7278
12,34,6268
6,16,1552
17,3,1026
22,28,6876
26,23,6378
30,6,3098
7,13,1266
48,48,23918
44,4,5165
26,34,9809
10,28,4343
26,8,2867
22,9,2467
34,3,3134
27,23,6605
1,28,2822
39,22,9312
7,31,4470
17,37,8370
26,43,13158
17,26,5235
40,15,7333
43,25,11538
35,40,14948
39,36,14633
9,18,2219
35,42,15813
38,43,17358
5,9,666
32,45,16055
49,9,7706
14,25,4404
21,26,6087
22,41,11139
1,12,647
33,30,10402
46,15,8858
43,30,13493
29,3,2394
41,30,12843
41,42,18026
35,42,15812
14,7,1218
2,13,816
44,34,15515
29,36,11403
29,27,8298
23,49,14609
32,45,16055
46,3,5317
33,10,4483
15,6,1192
39,14,6801
9,16,1902
46,33,15788
40,1,3708
32,27,9090
19,16,3332
5,43,7193
44,37,16848
18,44,11040
20,37,9168
7,17,1809
25,12,3502
11,17,2322
14,5,984
21,10,2502
30,31,9897
12,16,2290
28,41,13012
37,39,15217
30,19,6166
5,16,1442
47,32,15705
17,11,2130
15,22,3913
6,27,3422
20,40,10193
22,24,5768
15,6,1192
45,3,5113
31,23,7558
10,1,347
40,22,9588
34,9,4435
49,37,18737
2,43,6486
37,44,17443
9,7,777
21,24,5555
0,17,1067
26,12,3672
49,40,20199
0,8,294
16,17,3052
33,46,16867
40,13,6744
47,45,21905
2,15,1025
1,0,22
44,38,17303
8,1,251
43,28,12692
33,29,10050
45,25,12154
0,29,2856
31,36,12016
10,8,963
37,25,9785
40,7,5117
4,26,2908
0,35,4074
4,49,8795
47,28,14000
14,36,7308
21,41,10841
29,1,2057
45,21,10658
11,12,1556
8,49,9900
40,18,8263
28,13,4248
9,46,9162
25,26,7003
27,47,15149
44,30,13824
4,21,2047
42,29,12768
49,45,22754
24,21,5407
30,44,14916
39,4,4201
27,29,8417
11,35,6317
11,23,3437
9,18,2219
1,28,2823
28,17,5212
21,20,4562
4,22,2208
16,8,1557
28,47,15501
23,0,1233
22,46,13049
9,21,2737
16,13,2327
44,30,13824
43,21,10081
4,44,7245
14,36,7307
49,34,17331
35,48,18549
39,8,5169
15,18,3088
19,14,2941
18,25,5187
31,38,12793
30,5,2904
2,19,1518
46,14,8530
1,24,2134
36,21,8191
7,3,325
39,2,3753
2,43,6485
31,13,4817
47,38,18441
4,15,1213
43,15,8077
32,32,10830
8,48,9557
20,4,1446
46,23,11698
39,28,11449
13,33,6218
30,43,14494
12,3,626
17,11,2129
19,24,5141
36,12,5581
42,21,9800
49,23,12634
19,19,3966
16,32,6622
26,30,8478
16,45,10808
40,42,17647
27,40,12301
8,26,3552
35,30,10989
25,1,1578
31,29,9490
28,33,10028
28,40,12617
22,26,6310
48,39,19310
44,46,21167
38,40,16007
23,46,13376
2,26,2610
1,45,6818
1,33,3817
44,8,6234
43,36,16037
35,33,12114
33,39,13850
1,32,3607
44,32,14658
21,9,2329
31,28,9152
35,7,4158
13,20,3163
25,46,14043
33,18,6563
16,41,9412
23,4,1785
1,1,42
16,35,7498
28,3,2258
41,26,11307
15,40,8808
3,23,2238
25,19,5106
44,22,10728
48,27,13921
36,38,14447
21,28,6643
3,10,613
16,14,2500
45,30,14159
28,8,3177
14,33,6444
25,7,2537
15,38,8168
44,20,10013
44,45,20663
8,28,3977
9,38,6698
9,47,9497
23,3,1638
39,16,7393
24,34,9255
30,19,6165
41,37,15761
26,44,13560
3,38,5372
40,13,6744
46,36,17131
20,3,1314
44,30,13823
27,43,13485
33,33,11497
1,10,483
42,7,5529
12,17,2460
11,20,2852
43,10,6573
42,13,7215
29,13,4433
36,4,3669
31,24,7865
44,8,6233
15,27,5077
33,41,14681
47,24,12392
33,31,10761
12,49,11067
38,46,18762
47,47,22950
6,10,838
18,27,5701
12,10,1396
14,11,1757
17,46,11475
19,4,1340
41,44,18975
31,8,3673
47,27,13589
8,15,1637
14,26,4637
49,45,22754
31,35,11638
10,0,284
32,22,7500
11,5,737
37,16,6915
37,40,15650
2,26,2609
20,29,6695
9,42,7882
38,21,8711
28,43,13817
26,38,11238
7,46,8624
36,15,6397
5,15,1313
17,39,9017
38,13,6287
20,43,11274
43,10,6572
21,43,11577
20,9,2195
39,37,15057
45,33,15433
49,38,19218
31,46,16137
6,12,1052
38,20,8387
41,38,16203
9,33,5354
7,13,1266
11,12,1557
45,14,8271
3,34,4404
0,0,13
25,14,3930
44,7,5958
44,39,17765
7,47,8949
17,22,4274
19,33,7634
31,40,13592
22,41,11140
40,42,17647
24,20,5154
15,30,5848
15,49,11986
41,47,20441
22,10,2645
5,39,6065
21,11,2681
22,5,1816
28,42,13411
33,18,6562
46,39,18529
32,8,3846
18,11,2261
21,46,12727
32,8,3845
5,37,5537
2,2,89
36,0,2857
17,32,6855
21,39,10130
7,45,8306
35,16,6453
21,49,13930
34,25,8963
21,47,13121
11,4,644
3,41,6161
6,6,482
5,13,1074
4,6,367
34,33,11803
39,47,19638
6,11,941
42,46,20349
2,10,546
35,19,7326
3,12,797
14,3,774
31,19,6389
30,9,3716
17,30,6290
44,29,13415
45,0,4378
32,16,5789
20,19,4146
3,42,6437
29,33,10314
14,11,1758
18,37,8632
40,18,8263
18,25,5188
12,30,5216
5,19,1865
18,41,9971
38,40,16007
32,0,2286
45,34,15871
12,46,9999
35,13,5633
12,41,8339
20,0,953
22,17,4060
38,27,10781
26,17,4812
36,32,12042
20,12,2717
21,14,3254
10,22,3078
6,5,407
12,49,11068
27,29,8418
5,2,182
19,19,3966
28,7,2982
29,27,8298
32,39,13517
13,14,2095
36,3,3457
47,36,17504
24,34,9255
0,27,2497
10,41,7827
45,33,15433
0,7,238
28,31,9341
4,12,878
35,19,7326
40,9,5635
6,18,1837
16,22,4092
49,5,6513
7,38,6241
7,42,7385
42,13,7216
47,12,8144
7,21,2449
21,27,6362
10,26,3898
6,2,221
46,38,18058
4,21,2047
0,44,6305
31,15,5317
2,37,4919
11,9,1170
44,25,11844
11,39,7470
4,17,1468
30,21,6728
35,25,9234
37,1,3210
10,4,575
38,42,16902
34,43,15893
17,41,9690
12,20,3006
1,49,8009
26,3,1998
14,24,4176
49,22,12243
43,26,11917
31,28,9153
18,35,7997
31,47,16581
36,42,16171
17,31,6570
26,6,2502
39,33,13394
7,13,1265
2,4,167
20,3,1314
16,37,8112
28,12,4022
26,2,1842
47,3,5525
14,27,4878
32,35,11945
3,11,702
29,2,2223
9,9,985
20,45,12024
10,30,4813
18,30,6517
16,7,1421
2,40,5675
28,10,3588
32,35,11945
10,22,3078
48,30,15187
13,31,5682
44,46,21168
34,27,9638
14,23,3954
7,6,544
33,33,11497
46,36,17131
23,25,6257
10,37,6647
38,17,7452
29,4,2570
33,0,2423
26,38,11238
19,41,10258
47,46,22425
14,4,876
1,43,6258
42,46,20349
4,9,595
1,43,6258
14,37,7608
16,4,1050
46,32,15352
23,48,14192
46,21,10952
38,7,4722
23,26,6537
43,11,6862
13,26,4446
41,7,5321
32,9,4067
42,27,11989
1,37,4722
41,1,3882
48,12,8401
40,41,17187
41,30,12842
34,7,3978
26,20,5567
44,12,7398
17,48,12230
28,44,14230
6,2,221
33,27,9362
37,46,18374
38,5,4248
21,32,7827
5,30,3878
18,4,1239
23,43,12198
17,42,10035
11,49,10770
30,9,3716
47,0,4761
35,44,16701
19,15,3133
12,15,2125
11,40,7773
23,16,4016
42,35,15245
5,7,497
3,42,6437
32,47,16949
19,15,3133
9,16,1903
22,28,6876
41,37,15762
21,26,6086
19,26,5652
0,6,188
21,45,12338
